hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
110,90.85000000000001,50321.67261904762,16715.29891304348,1177.82375,1908.55,8000.0,-0.0,-0.0,2854.009809553296,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
111,90.85000000000001,54171.251984126975,18090.733695652172,141.685,1895.8500000000001,8000.0,-0.0,-0.0,2098.44644708954,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
112,90.85000000000001,55783.67063492063,19974.456521739132,29.347500000000004,1922.0,8000.0,-0.0,-0.0,1809.5162906291444,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
113,90.85000000000001,56146.1488095238,19757.282608695652,23.3275,1912.0,8000.0,-0.0,-0.0,1863.9483250036574,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
114,75.42857142857143,54967.07936507937,20691.684782608692,16.931250000000002,1919.525,7344.114932177799,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
115,75.42857142857143,54061.180555555555,19304.918478260865,15.049999999999999,1915.0,5734.525388054397,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
116,75.42857142857143,53296.88690476191,17718.016304347824,11.77125,1921.125,4299.501707515767,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
117,75.42857142857143,49932.81746031746,18092.608695652172,-0.0,1899.35,4111.90573800711,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
118,75.42857142857143,49885.357142857145,17525.46195652174,-0.0,1889.5,884.1962898817728,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
119,3.0,50138.08333333333,14745.475287816673,-0.0,1896.95,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
120,3.0,50927.29365079365,11335.945853617242,-0.0,1900.425,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
121,3.0,53776.14484126984,6983.077587008945,-0.0,1887.925,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
