hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
7833,104.21153846153845,33015.678571428565,18157.092391304348,32993.09375,1196.0,8000.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9522.012152602325
7834,104.21153846153845,31114.299603174604,18942.88043478261,41805.29874999998,1194.375,8000.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,23355.66596797831
7835,104.21153846153845,31678.164682539675,18595.679347826088,43450.10249999998,1246.675,8000.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,39832.06817742408
7836,104.21153846153845,34567.12896825397,19783.695652173912,35542.88625,1286.45,8000.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,54937.427365634394
7837,104.21153846153845,38929.279761904756,21044.103260869564,19582.63,1255.1999999999998,8000.0,-0.0,-0.0,0.0,15897.894266056559,-0.0,-0.0,-0.0,-0.0,76424.61693065501
7838,104.21153846153845,45821.88690476191,23270.625,4899.3125,1236.925,8000.0,-0.0,-0.0,0.0,1174.0715694169194,-0.0,-0.0,-0.0,-0.0,76424.61693065501
7839,104.21153846153845,53083.31547619047,21982.255434782608,166.14125,1295.375,8000.0,-0.0,-0.0,0.0,4364.593702679049,-0.0,-0.0,-0.0,-0.0,76424.61693065501
7840,104.21153846153845,57908.79761904762,21532.255434782608,63.63999999999999,1341.5,8000.0,-0.0,-0.0,0.0,5030.31600715089,-0.0,-0.0,-0.0,-0.0,76424.61693065501
7841,104.21153846153845,57763.4503968254,19688.641304347824,48.32125,1365.5249999999999,8000.0,-0.0,-0.0,0.0,8719.198353162414,-0.0,-0.0,-0.0,-0.0,76424.61693065501
7842,104.21153846153845,54884.52579365079,19917.146739130436,41.6025,1385.075,8000.0,-0.0,-0.0,0.0,8196.895177560502,-0.0,-0.0,-0.0,-0.0,76424.61693065501
7843,104.21153846153845,52744.24801587302,19382.282608695652,24.56375,1254.025,8000.0,-0.0,-0.0,0.0,6917.12855990963,-0.0,-0.0,-0.0,-0.0,76424.61693065501
7844,104.21153846153845,49455.20238095238,19363.695652173912,21.8225,1252.2,8000.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,88519.16910228349
7845,104.21153846153845,44370.24007936508,19524.130434782604,-0.0,1223.575,8000.0,-0.0,-0.0,0.0,9149.401614124748,-0.0,-0.0,-0.0,-0.0,88519.16910228349
7846,104.21153846153845,41115.92261904762,18420.32608695652,-0.0,1225.3999999999999,8000.0,-0.0,-0.0,0.0,9112.601655665734,-0.0,-0.0,-0.0,-0.0,88519.16910228349
7847,104.21153846153845,38528.42261904762,19051.385869565216,-0.0,1232.75,8000.0,-0.0,-0.0,0.0,7906.508646003043,-0.0,-0.0,-0.0,-0.0,88519.16910228349
7848,104.21153846153845,35724.1111111111,18892.092391304348,-0.0,1222.9749999999995,8000.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,99613.3968640519
7849,104.21153846153845,33658.26388888888,19740.733695652172,-0.0,1216.8,8000.0,-0.0,-0.0,0.0,8824.805900361775,-0.0,-0.0,-0.0,-0.0,99613.3968640519
7850,104.21153846153845,32566.539682539686,19955.869565217392,-0.0,1239.1499999999999,8000.0,-0.0,-0.0,0.0,9640.797380145563,-0.0,-0.0,-0.0,-0.0,99613.3968640519
7851,104.21153846153845,32820.90873015872,19724.755434782608,6.0737499999999995,1239.45,8000.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,106400.0
7852,104.21153846153845,33468.650793650784,18322.989130434784,11.66375,1261.8,8000.0,-0.0,-0.0,0.0,18693.27883104756,-0.0,-0.0,-0.0,-0.0,106400.0
